,Building,URL,Location,Lat,Long,Net Value Estimate,Valuation source,Income amount,Income souce,Liscense Deal?,elevation_url,elevation_in_meters
28,TRUMP INTERNATIONAL HOTEL & TOWER TORONTO ®,http://www.trump.com/real-estate-portfolio/toronto/trump-tower/#,"https://www.google.com/maps/place/Trump+International+Hotel+%26+Tower/@43.6498359,-79.382367,17z/data=!3m1!4b1!4m5!3m4!1s0x882b34cd4ddb84e9:0x179504fa0089f0f0!8m2!3d43.649832!4d-79.3801783?hl=en",43.6498359,-79.382367,,,,,TRUE,"https://maps.googleapis.com/maps/api/elevation/json?locations=43.6498359,-79.382367&key=",87.33230590820312
29,"TRUMP TOWER, CENTURY CITY",http://www.trump.com/real-estate-portfolio/philippines/trump-tower-manila/,"https://www.google.com/maps/place/Trump+Tower+at+Century+City/@14.5651432,121.0261223,17z/data=!3m1!4b1!4m5!3m4!1s0x3397c9a9629fcbff:0x4e39961b369e9f9f!8m2!3d14.565138!4d121.028311?hl=en",14.5651432,121.0261223,$0.00,p 27 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$100,001.00",p 27 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,TRUE,"https://maps.googleapis.com/maps/api/elevation/json?locations=14.5651432,121.0261223&key=",11.0548620223999
30,"TRUMP TOWER, MUMBAI",http://www.trump.com/real-estate-portfolio/india/trump-tower-mumbai/#,"https://www.google.com/maps/place/LODHAs+Trump+Tower/@19.0030717,72.8250928,17z/data=!3m1!4b1!4m5!3m4!1s0x3be7ceecc1b2f19d:0xdeb1b4666ce0d3fc!8m2!3d19.0030666!4d72.8272815?hl=en-US",19.0030717,72.8250928,$0.00,page 26 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$100,001.00",page 26 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,TRUE,"https://maps.googleapis.com/maps/api/elevation/json?locations=19.0030717,72.8250928&key=",8.686569213867188
31,"TRUMP TOWERS, PUNE",http://www.trump.com/real-estate-portfolio/india/trump-towers-pune/#,"https://www.google.com/maps/place/Trump+Towers/@18.5517734,73.9033125,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2c110e285036f:0xaf841b887e5c0238!8m2!3d18.5517683!4d73.9055012?hl=en",18.5517734,73.9033125,,,,,TRUE,"https://maps.googleapis.com/maps/api/elevation/json?locations=18.5517734,73.9033125&key=",558.95654296875
32,"TRUMP TOWER, PUNTA DEL ESTE",http://www.trump.com/real-estate-portfolio/uruguay/trump-tower-punta-del-este/#,"https://www.google.com/maps/place/Trump+Tower+Punta+del+Este/@-34.9461757,-54.9250288,17z/data=!3m1!4b1!4m5!3m4!1s0x95750518b3621273:0x28504cb0f3bb269f!8m2!3d-34.9461801!4d-54.9228401?hl=en",-34.9461757,-54.9250288,,,,,TRUE,"https://maps.googleapis.com/maps/api/elevation/json?locations=-34.9461757,-54.9250288&key=",13.86280727386475
33,TRUMP INTERNATIONAL HOTEL & TOWER™ VANCOUVER,http://www.trump.com/real-estate-portfolio/canada/trump-tower-vancouver/#,"https://www.google.com/maps/place/Trump+International+Hotel+%26+Tower+Vancouver/@49.2864894,-123.1262124,17z/data=!3m1!4b1!4m5!3m4!1s0x548671813d75f881:0x4355667f83a2e545!8m2!3d49.2864859!4d-123.1240237?hl=en",49.2864894,-123.1262124,,,,,TRUE,"https://maps.googleapis.com/maps/api/elevation/json?locations=49.2864894,-123.1262124&key=",38.02606964111328
34,40 WALL STREET,http://www.trump.com/real-estate-portfolio/new-york-ny/40-wall-street/#,"https://www.google.com/maps/place/40+Wall+Street+-+The+Trump+Building/@40.7069587,-74.0119286,17z/data=!3m1!4b1!4m5!3m4!1s0x89c25a1700286efb:0x5358bf9fda32dea1!8m2!3d40.7069547!4d-74.0097399?hl=en",40.7069587,-74.0119286,"$345,000,000.00",http://www.forbes.com/sites/jenniferwang/2016/09/28/the-definitive-look-at-donald-trumps-wealth-new/#5f2b9f6a7e2d,"$5,000,000.00",page 13 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=40.7069587,-74.0119286&key=",9.056976318359375
35,1290 AVENUE OF THE AMERICAS,http://www.trump.com/real-estate-portfolio/new-york-ny/1290-avenue-of-the-americas/#,"https://www.google.com/maps/place/1290+6th+Ave,+New+York,+NY+10104/@40.76049,-73.978872,16z/data=!4m5!3m4!1s0x89c258f93e61efbb:0x73a39c78e2178f66!8m2!3d40.7604895!4d-73.978872?hl=en-US",40.76049,-73.978872,"$409,000,000.00",http://www.forbes.com/sites/jenniferwang/2016/09/28/the-definitive-look-at-donald-trumps-wealth-new/#5f2b9f6a7e2d,"$5,000,000.00",page 25 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=40.76049,-73.978872&key=",19.83163833618164
36,555 CALIFORNIA STREET,http://www.trump.com/real-estate-portfolio/california/555-california-street/#,"https://www.google.com/maps/place/550+California+St,+San+Francisco,+CA+94104/@37.793073,-122.403657,16z/data=!4m5!3m4!1s0x8085808a50474355:0xdd2cb4acebb157eb!8m2!3d37.7931031!4d-122.4036582?hl=en-US",37.793073,-122.403657,"$317,000,000.00",http://www.forbes.com/sites/jenniferwang/2016/09/28/the-definitive-look-at-donald-trumps-wealth-new/#5f2b9f6a7e2d,"$5,000,000.00",page 25 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=37.793073,-122.403657&key=",8.79670524597168
37,"TRUMP TOWER, RIO",http://www.trump.com/real-estate-portfolio/rio-de-janeiro/trump-towers/,"https://www.google.com/maps/place/Trump+Towers/@-22.9504279,-43.1807647,15z/data=!4m2!3m1!1s0x0:0x76b9deaa113ae19d?sa=X&ved=0ahUKEwj39tGF5rXQAhUCKGMKHRevD7gQ_BIIggEwDg",-22.9504279,-43.1807647,,,,,TRUE,"https://maps.googleapis.com/maps/api/elevation/json?locations=-22.9504279,-43.1807647&key=",10.38613414764404
38,TRUMP INTERNATIONAL GOLF LINKS SCOTLAND,http://www.trump.com/golf/trump-intl-golf-links-scotland/,"https://www.google.com/maps/place/Trump+International+Golf+Links/@57.2782199,-2.0548747,17z/data=!3m1!4b1!4m5!3m4!1s0x48847337bf7ba14b:0xdecdd782a9619dfd!8m2!3d57.278217!4d-2.052686?hl=en",57.2782199,-2.0548747,"$50,000,000.00",page 19 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$4,349,651.00",page 19 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=57.2782199,-2.0548747&key=",59.98947525024414
39,TRUMP NATIONAL GOLF CLUB BEDMINSTER,http://www.trump.com/golf/trump-intl-golf-club-bedminster/#,"https://www.google.com/maps/place/Trump+National+Golf+Club+Bedminster/@40.6531294,-74.6976875,17z/data=!3m1!4b1!4m5!3m4!1s0x89c391509b631a2f:0xc2c46af4ffecb041!8m2!3d40.6531254!4d-74.6954988?hl=en",40.6531294,-74.6976875,"$50,000,000.00",page 16 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$16,101,092.00",page 16 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=40.6531294,-74.6976875&key=",64.14019012451172
40,TRUMP NATIONAL GOLF CLUB CHARLOTTE,http://www.trump.com/golf/trump-national-charlotte/,"https://www.google.com/maps/place/Trump+National+Golf+Club+Charlotte/@35.5319673,-80.9208767,17z/data=!3m1!4b1!4m5!3m4!1s0x8856ac8a430e6d5f:0xbe0f1fb179e6824!8m2!3d35.531963!4d-80.918688?hl=en",35.5319673,-80.9208767,"$5,000,001.00",page 17 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$10,133,801.00",page 17 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=35.5319673,-80.9208767&key=",240.92236328125
41,TRUMP NATIONAL GOLF CLUB COLTS NECK,http://www.trump.com/golf/trump-national-golf-club-colts-neck/,"https://www.google.com/maps/place/Trump+National+Golf+Club/@40.2777632,-74.1783089,15z/data=!4m2!3m1!1s0x0:0x1bee438940742898?sa=X&ved=0ahUKEwjm4eu55rXQAhVB0WMKHTWnCWgQ_BIIgwEwDg",40.2777632,-74.1783089,"$50,000,000.00",page 22 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$6,627,486.00",page 22 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=40.2777632,-74.1783089&key=",27.9694938659668
42,TRUMP INTERNATIONAL GOLF LINKS IRELAND,http://www.trump.com/golf/trump-intl-golf-links-ireland/,"https://www.google.com/maps/place/Trump+International+Golf+Links+%26+Hotel+Doonbeg/@52.7458932,-9.5047157,17z/data=!3m1!4b1!4m5!3m4!1s0x485b06a7a2549b67:0x79bc7df71e1ffc46!8m2!3d52.74589!4d-9.502527?hl=en-US",52.7458932,-9.5047157,"$50,000,000.00",page 17 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$10,755,683.00",page 17 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=52.7458932,-9.5047157&key=",2.77459454536438
43,TRUMP GOLF LINKS AT FERRY POINT,http://www.trump.com/golf/trump-golf-links-ferry-point/,"https://www.google.com/maps/place/Trump+Golf+Links+at+Ferry+Point/@40.812471,-73.834446,15z/data=!4m2!3m1!1s0x0:0x94baa3b13781e1fb?sa=X&ved=0ahUKEwjO9pbO5rXQAhVFxWMKHVyCDVoQ_BIIeDAK",40.812471,-73.834446,"$5,000,001.00",page 19 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$49,448,432.00",page 19 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=40.812471,-73.834446&key=",6.972324371337891
44,TRUMP NATIONAL GOLF CLUB HUDSON VALLEY,http://www.trump.com/golf/trump-national-golf-club-hudson-valley/#,"https://www.google.com/maps/place/Trump+National+Golf+Club+Hudson+Valley/@41.571933,-73.7631267,17z/data=!3m1!4b1!4m5!3m4!1s0x89dd466e0d09cc79:0xaf34ba4659d206f1!8m2!3d41.571929!4d-73.760938?hl=en",41.571933,-73.7631267,"$5,000,001.00",page 17 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$4,221,191.00",page 17 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=41.571933,-73.7631267&key=",93.57928466796875
45,TRUMP NATIONAL GOLF CLUB JUPITER,http://www.trump.com/golf/trump-national-golf-club-jupiter/#,"https://www.google.com/maps/search/TRUMP+NATIONAL+GOLF+CLUB+JUPITER/@26.8932834,-80.087396,14z/data=!3m1!4b1?hl=en",26.8932834,-80.087396,"$50,000,000.00",page 16 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$12,400,958.00",page 16 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=26.8932834,-80.087396&key=",2.113533973693848
46,TRUMP NATIONAL GOLF CLUB LOS ANGELES,http://www.trump.com/golf/trump-national-golf-club-los-angeles/#,"https://www.google.com/maps/place/Trump+National+Golf+Club+Los+Angeles/@33.7296184,-118.3517377,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd490a35960dad:0x8c957e95c1636ef2!8m2!3d33.729614!4d-118.349549?hl=en",33.7296184,-118.3517377,"$50,000,000.00",page 24 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$21,173,446.00",page 24 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"https://maps.googleapis.com/maps/api/elevation/json?locations=33.7296184,-118.3517377&key=",53.27278900146484
47,TRUMP NATIONAL DORAL,http://www.trump.com/golf/trump-national-doral/#,"https://www.google.com/maps/place/Trump+National+Doral+Miami/@25.8137248,-80.3418648,17z/data=!3m1!4b1!4m5!3m4!1s0x88d9bbdf63c22121:0xf9e58ab33bba5d95!8m2!3d25.81372!4d-80.3396761?hl=en",25.8137248,-80.3418648,"$169,000,000.00",http://www.forbes.com/sites/jenniferwang/2016/09/28/the-definitive-look-at-donald-trumps-wealth-new/2/#5536228f414f,"$49,448,432.00",page 19 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=25.8137248,-80.3418648&key=",1.694485187530518
48,TRUMP INTERNATIONAL GOLF CLUB WEST PALM BEACH,http://www.trump.com/golf/trump-intl-golf-club-west-palm-beach/#,"https://www.google.com/maps/place/Trump+International+Golf+Club/@26.6659696,-80.1007552,17z/data=!3m1!4b1!4m5!3m4!1s0x88d8d7df3310075f:0xb49cb049921fa85!8m2!3d26.6659648!4d-80.0985665?hl=en",26.6659696,-80.1007552,"$25,000,001.00",page 20 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$12,731,835.00",page 20 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=26.6659696,-80.1007552&key=",2.106685400009155
49,TRUMP NATIONAL GOLF CLUB PHILADELPHIA,http://www.trump.com/golf/trump-national-golf-club-philadelphia/#,"https://www.google.com/maps/place/Trump+National+Golf+Club/@39.7876321,-75.0065237,17z/data=!3m1!4b1!4m5!3m4!1s0x89c6d2fae06c2de1:0xb80304142b4a6ecb!8m2!3d39.787628!4d-75.004335?hl=en",39.7876321,-75.0065237,"$5,000,001.00",page 17 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$4,940,900.00",page 17 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=39.7876321,-75.0065237&key=",40.28803253173828
50,"TRUMP INTERNATIONAL GOLF CLUB DUBAI, UAE",http://www.trump.com/golf/trump-intl-golf-club-dubai/,"https://www.google.com/maps/place/Trump+International+Golf+Course,+Dubai/@25.0248682,55.2540173,15z/data=!4m5!3m4!1s0x0:0x42aaa9c40943f2d8!8m2!3d25.0248682!4d55.2540173",25.0248682,55.2540173,,,,,TRUE,"https://maps.googleapis.com/maps/api/elevation/json?locations=25.0248682,55.2540173&key=",23.70672225952148
51,TRUMP TURNBERRY,http://www.trump.com/golf/trump-intl-golf-club-turnberry-scotland/,"https://www.google.com/maps/place/Trump+Turnberry,+a+Luxury+Collection+Resort,+Scotland/@55.3141079,-4.8311102,17z/data=!3m1!4b1!4m5!3m4!1s0x486276a86a4d0ae9:0x9d53b2a73c4e4e5d!8m2!3d55.3141049!4d-4.8289215",55.3141079,-4.8311102,"$50,000,000.00",page 16 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$20,395,000.00",page 16 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=55.3141079,-4.8311102&key=",14.73494243621826
52,"TRUMP NATIONAL GOLF CLUB, WASHINGTON, DC",http://www.trump.com/golf/trump-national-golf-club-washington-dc/,"https://www.google.com/maps/place/Trump+National+Golf+Club/@39.0529801,-77.3494447,17z/data=!3m1!4b1!4m5!3m4!1s0x89b630cff7eacf01:0x946f22a03bb13b5e!8m2!3d39.052976!4d-77.347256",39.0529801,-77.3494447,"$50,000,000.00",page 22 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$14,026,420.00",page 22 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=39.0529801,-77.3494447&key=",84.00621795654297
53,TRUMP NATIONAL GOLF CLUB WESTCHESTER,http://www.trump.com/golf/trump-national-golf-club-westchester/,"https://www.google.com/maps/place/Trump+National+Golf+Club+Westchester/@41.1460407,-73.8354916,17z/data=!3m1!4b1!4m5!3m4!1s0x89c2bf660a478c2b:0xaa2781ece2fd3aaa!8m2!3d41.1460367!4d-73.8333029",41.1460407,-73.8354916,"$50,000,000.00",page 22 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,"$9,494,179.00",page 22 https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/trump-fec-financial-disclosure-2015.pdf,,"https://maps.googleapis.com/maps/api/elevation/json?locations=41.1460407,-73.8354916&key=",113.3288650512695
